file,code,name,unit,freq,agg
CO_Q,TK99F3030601GCQ11000,D.I./業況/大企業/__素材業種/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F3040601GCQ01000,D.I./業況/大企業/__加工業種/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F3040601GCQ11000,D.I./業況/大企業/__加工業種/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2000601GCQ01000,D.I./業況/大企業/非製造業/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2000601GCQ11000,D.I./業況/大企業/非製造業/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2011601GCQ01000,D.I./業況/大企業/_建設/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2011601GCQ11000,D.I./業況/大企業/_建設/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2019601GCQ01000,D.I./業況/大企業/_不動産・物品賃貸/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2019601GCQ11000,D.I./業況/大企業/_不動産・物品賃貸/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2012601GCQ01000,D.I./業況/大企業/__不動産/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2012601GCQ11000,D.I./業況/大企業/__不動産/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2090601GCQ01000,D.I./業況/大企業/__物品賃貸/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2090601GCQ11000,D.I./業況/大企業/__物品賃貸/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2020601GCQ01000,D.I./業況/大企業/_卸・小売/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2020601GCQ11000,D.I./業況/大企業/_卸・小売/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2021601GCQ01000,D.I./業況/大企業/__卸売/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2021601GCQ11000,D.I./業況/大企業/__卸売/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2024601GCQ01000,D.I./業況/大企業/__小売/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2024601GCQ11000,D.I./業況/大企業/__小売/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2040601GCQ01000,D.I./業況/大企業/_運輸・郵便/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2040601GCQ11000,D.I./業況/大企業/_運輸・郵便/予測,%ポイント,QUARTERLY,last
